CODI_OPENDATA ,CODI_IDENTIFICACIO_ESTACIO,CODI_IDENTIFICACIO_EQUIP,NUMERO_DE_SERVEI,CODI_DEL_CONNECTOR,TIPO_CONNECTOR,POTENCIA_MAXIMA_DE_CARGA_(W),NUM_SERVEIS_DEL_EQUIP,NUM_DE_CONNECTORS_AL_EQUIP,TIPOLOGIA_DE_CARREGA,LATITUD,LONGITUD,DIRECCIO,CODI_DISTRICTE,NOM_DISTRICTE,CODI_BARRI,NOM_BARRI,CODI_POSTAL,CODI_ASIA,TIPUS_DE_ACCES,OPERADOR,TELF,TARIFA ,CONTROL_DE_ACCES,RESTRICCIO_DE_US
11201012,112,01,01,2,MENNEKES,43000,1,3,RÀPIDA,41.393732,2.149179,"Av. Diagonal, 447 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
11201013,112,01,01,3,COMBO 2,50000,1,3,RÀPIDA,41.393732,2.149179,"Av. Diagonal, 447 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
11202021,112,02,02,1,CHADEMO,50000,1,3,RÀPIDA,41.393719,2.148987,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
11202022,112,02,02,2,MENNEKES,43000,1,3,RÀPIDA,41.393719,2.148987,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
11202023,112,02,02,3,COMBO 2,50000,1,3,RÀPIDA,41.393719,2.148987,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,LLIURE,CÀRREGA RÀPIDA (<11kW)
11203011,112,03,01,1,SCHUKO,3600,2,2,LENTA,41.393666,2.148844,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11203021,112,03,02,1,SCHUKO,3600,2,2,LENTA,41.393666,2.148844,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11204011,112,04,01,1,SCHUKO,3600,2,2,LENTA,41.393666,2.148844,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11204021,112,04,02,1,SCHUKO,3600,2,2,LENTA,41.393666,2.148844,"Av. Diagonal, 449 (lateral Mar) - entre Casanova i Muntaner",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11301011,113,01,01,1,SCHUKO,3600,2,2,SEMI-RÀPIDA,41.405719,2.192780,"Llacuna, 149",10,Sant Martí,66,El Parc i la Llacuna de Poblenou,08018,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eDUM
11301021,113,01,02,1,MENNEKES,7200,2,2,SEMI-RÀPIDA,41.405719,2.192780,"Llacuna, 149",10,Sant Martí,66,El Parc i la Llacuna de Poblenou,08018,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eDUM
11401011,114,01,01,1,SCHUKO,3600,2,2,LENTA,41.436981,2.191159,"Torras  i Bages, 11",9,Sant Andreu,60,Sant Andreu,08030,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11401021,114,01,02,1,SCHUKO,3600,2,2,LENTA,41.436981,2.191159,"Torras  i Bages, 11",9, Sant Andreu,60,Sant Andreu,08030,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11601011,116,01,01,1,MENNEKES,7200,2,2,SEMI-RÀPIDA,41.392722,2.146466,"Villarroel, 277 - Av. Diagonal",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eTAXI
11601021,116,01,02,1,MENNEKES,7200,2,2,SEMI-RÀPIDA,41.392722,2.146466,"Villarroel, 277 - Av. Diagonal",2,Eixample,8,L'Antiga Esquerra de l'Eixample,08036,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU eTAXI
11701011,117,01,01,1,SCHUKO,3600,2,2,LENTA,41.407187,2.218089,Passeig Garcia i Faria - Josep Pla,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,08019,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11701021,117,01,02,1,SCHUKO,3600,2,2,LENTA,41.407187,2.218089,Passeig Garcia i Faria - Josep Pla,10, Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,08019,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11801011,118,01,01,1,SCHUKO,3600,2,2,LENTA,41.375319,2.151658,"Llançà, 1 - Av. Paral·lel",2,Eixample,10,Sant Antoni,08015,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
11801021,118,01,02,1,SCHUKO,3600,2,2,LENTA,41.375319,2.151658,"Llançà, 1 - Av. Paral·lel",2,Eixample,10,Sant Antoni,08015,,VIA PÚBLICA,AJUNTAMENT BCN,937064866,GRATUÏT,TARGETA VE,EXCLUSIU MOTO
